SYSNO,Author,Advisor,Title_Pt,Subtitle_pt,Title_En,Subtitle_en,Type,Field,Year,Keywords,Subject(Library)
723623,"Andrade, Rachel Gazzola de","Silva, Franklin Leopoldo e","Platao, o filosofo da medida",um estudo sobre a alma nos dialogos de maturidade,NA,NA,Tese (Doutorado),FILOSOFIA,1991,NA,FILOSOFIA|FILOSOFIA ANTIGA
728439,"Costa, Ina Camargo","Arantes, Otilia Beatriz Fiori",Dias gomes,um dramaturgo nacional-popular,NA,NA,Dissertação (Mestrado),FILOSOFIA,1987,NA,NA
728551,"Val, Fernando Tadeu Ribeiro do","Kuntz, Rolf Nelson",Observacoes sobre a economia de David Hume,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1993,NA,FILOSOFIA|FILOSOFIA MODERNA|BALANÇA COMERCIAL
728600,"Maciel, Mirtes Mirian Amorim","Chauí, Marilena de Souza",Socialismo e autonomia castoriadis e a instituicao imaginaria da sociedade,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1987,NA,NA
728865,"Favaretto, Celso Fernando","Kossovitch, Leon",A invenção de Hélio Oiticica,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1988,NA,ARTES
728897,"Marton, Scarlett","Arantes, Paulo Eduardo","Nietzsche, cosmologia e genealogia",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1988,NA,FILOSOFIA CONTEMPORÂNEA
728911,"Sumner, Anne Marie","Arantes, Otilia Beatriz Fiori",Arquitetura nao adjetivada,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1988,NA,NA
728913,"Telles, Sophia da Silva","Knoll, Victor",Arquitetura moderna no brasil,o desenho da superficie,NA,NA,Dissertação (Mestrado),FILOSOFIA,1988,NA,NA
729130,"Batistiolle, João Valdecir","Monteiro, João Paulo",Teoria da natureza humana e critica da religião em David Hume,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1986,NA,NA
729490,"Almeida, Claudio Goncalves de","Santos, Luiz Henrique Lopes dos",Russel,a logica e a teoria do juizo,NA,NA,Dissertação (Mestrado),FILOSOFIA,1988,NA,NA
729738,"Maar, Wolfgang Leo","Arantes, Paulo Eduardo",Formacao da teoria em historia e consciencia de classe de georg lukacs,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1988,NA,LUTA DE CLASSES|CONSCIÊNCIA (PERCEPÇÃO)|CULTURA|HISTÓRIA
730700,"Fontes Filho, Osvaldo","Kossovitch, Leon",Retórica e ética em Leon Batista Alberti,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,ÉTICA|ESTÉTICA|RETÓRICA
730776,"Machado, Geraldo Pinheiro","Maurer Junior, Theodoro Henrique","Nocao de ser em maritain e heidgger, comparadas no plano de um primeiro momento da ontologia",NA,NA,NA,Provimento de Cátedra,FILOSOFIA,1955,NA,NA
731292,"Tassinari, Alberto de Almeida Prado","Silva, Franklin Leopoldo e","Filosofia, visão e pintura",estudo sobre a filosofia da pintura de Merleau-Ponty,NA,NA,Dissertação (Mestrado),FILOSOFIA,1989,NA,FILOSOFIA MODERNA
731494,"Benoit, Alcides Hector Rodrigues","Souza, José Cavalcante de",Platão,o saber esotérico da dialética,NA,NA,Tese (Doutorado),FILOSOFIA,1990,NA,FILOSOFIA ANTIGA|PLATONISMO
731495,"Carrion, Rejane Maria Machado","Lebrun, Gerard",Ciência empírica e justificação,por uma leitura epistemológica do Aufbau,Empirical science and justification,an epistemological approach to Carnap's logical Aufbau,Tese (Doutorado),FILOSOFIA,1990,NA,FILOSOFIA|LÓGICA
731497,"Ferreira, José Edison","Silva, Franklin Leopoldo e",Constituição do conceito de positividade na obra de juventude de Hegel,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1990,NA,FILOSOFIA|FILOSOFIA (HISTÓRIA)|RELIGIAO (FILOSOFIA)|MEDICAMENTO (ADMINISTRAÇÃO E DOSAGEM)
731499,"Francisco, Maria de Fátima Simões","Franco, Maria Sylvia de Carvalho",Hannah Arendt,orientações fundamentais e suas fontes gregas,NA,NA,Dissertação (Mestrado),FILOSOFIA,1990,NA,FILOSOFIA|FILOSOFIA POLÍTICA
731500,"Krause, Decio","Costa, Newton Carneiro Affonso da","Não-reflexividade, indistinguibilidade e agregados de Weyl",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1990,NA,FILOSOFIA|LÓGICA
731504,"Marques, Ubirajara Rancan de Azevedo","Lebrun, Gerard",Kant e as duas fontes originarias de conhecimento na crítica da razão pura,"aquisição originária, multiplicidade a priori e esquematismo transcendental",NA,NA,Dissertação (Mestrado),FILOSOFIA,1990,NA,FILOSOFIA
731505,"Nascimento, Maria das Graças de Souza","Chauí, Marilena de Souza",Natureza e ilustração,sobre o materialismo de Diderot,NA,NA,Tese (Doutorado),FILOSOFIA,1990,NA,FILOSOFIA|PRAZER
731818,"Goldenberg, Ricardo David","Gabbi Jr., Osmyr Faria",Ensaio sobre a moral de Freud,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1993,NA,FILOSOFIA|ÉTICA|GENEALOGIA|PSICANÁLISE
731839,"Cardoso, Sérgio","Chauí, Marilena de Souza",Crítica da antropologia política na obra de Pierre Clastres,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1989,NA,FILOSOFIA
731949,"Coli Júnior, Jorge Sidney","Franco, Maria Sylvia de Carvalho",Edição crítica e comentada de o mundo musical de Mário de Andrade,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1990,NA,FILOSOFIA|HISTÓRIA DA MÚSICA
732505,"Marques Neto, José Castilho","Moreira, Maria Sylvia de Carvalho Franco",Solidão revolucionária,Mário Pedrosa e as origens do trotskismo no Brasil,NA,NA,Tese (Doutorado),FILOSOFIA,1992,NA,FILOSOFIA|FILOSOFIA POLÍTICA|POLÍTICA|COMUNISMO
733064,"Silva, Walzi Conceição Sampaio da","Costa, Newton Carneiro Affonso da",Relativismo e paraconsistência,um estudo de caso,NA,NA,Tese (Doutorado),FILOSOFIA,1990,NA,FILOSOFIA (HISTÓRIA)|LÓGICA
733566,"Merklen, Ana Maria Olivera Yamin de","Torres Filho, Rubens Rodrigues",Protagoras e a doutrina do homem-medida,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA|FILOSOFIA
733585,"Machado, Carlos Eduardo Jordão","Arantes, Paulo Eduardo",O debate sobre o expressionismo,"um capítulo da história da modernidade estética, Lukács, Bloch, Brecht Benjamin e Adorno",NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA|ARTES|EXPRESSIONISMO
733611,"Gonçalves, Camila Salles","Silva, Franklin Leopoldo e","Historicidade, psicanálise e desilusão na reflexão filosófica de Jean-Paul Sartre",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1991,NA,FILOSOFIA
733637,"Hernandes, Isabel Pimenta","Kuntz, Rolf Nelson",Saber e ação em locke,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1991,NA,FILOSOFIA|EPISTEMOLOGIA|FILOSOFIA MODERNA
733682,"Reis, Maria Cecília Leonel Gomes dos","Giannotti, José Arthur",De anima de Aristóteles,"tradução, introdução e notas",NA,NA,Dissertação (Mestrado),FILOSOFIA,1990,NA,FILOSOFIA
733689,"Marcolini, André","Kossovitch, Leon",Finalismo e antifinalismo em Nietzsche,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA
733690,"Benoit, Lelita Oliveira de Rodriguez","Chauí, Marilena de Souza",Unidade (dilacerada) da razão positiva de Auguste Comte,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,"FILOSOFIA|POSITIVISMO|Comte, Auguste"
733702,"Piozzi, Patrizia","Moreira, Maria Sylvia Carvalho Franco",Natureza e artefacto,a ordem anárquica; algumas considerações sobre a genese da ideia socialista libertaria,NA,NA,Tese (Doutorado),FILOSOFIA,1991,NA,FILOSOFIA|ARTES|LIBERDADE
733703,"Smith, Plinio Junqueira","Silva, Oswaldo Porchat de Assis Pereira da",Ceticismo de Hume,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1991,NA,FILOSOFIA|CETICISMO
733737,"Fernandes, Alfredo Antonio","Monteiro, João Paulo",Piaget,entre a psicologia e a filosofia; a noção piagetiana de conhecimento,NA,NA,Tese (Doutorado),FILOSOFIA,1991,NA,FILOSOFIA|EPISTEMOLOGIA|PSICOLOGIA
733738,"Suzuki, Marcio","Matos, Luiz Fernando Batista Franklin de",Friedrich schiller,"poesia ingênua e sentimental; tradução, apresentação e notas",NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA|ESTÉTICA|CRÍTICA LITERÁRIA|ROMANTISMO
733739,"Ferrari, Sonia Campaner Miguel","Terra, Ricardo Ribeiro",Sobre o conceito de experiência em Walter Benjamin,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA|FILOSOFIA CONTEMPORÂNEA
733744,"Nobre, Marcos Severino","Terra, Ricardo Ribeiro",Limites da reificação,"um estudo sobre história e consciência de classe, de Georg Lukacs",NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA|FILOSOFIA POLÍTICA|POLÍTICA|MARXISMO
733783,"Fiker, Raul","Ribeiro, Renato Janine",Conhecer e saber,"a interpretação alegorica dos mitos clássicos em Francis Bacon - antecedentes, contexto, características",NA,NA,Tese (Doutorado),FILOSOFIA,1990,NA,FILOSOFIA|MITOLOGIA|MITOS
733801,"Santos, Rogerio da Costa","Torres Filho, Rubens Rodrigues",Duns scot da imagem precedido de noetica e metafísica,introdução à teoria da intelecção indireta,NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA|EPISTEMOLOGIA
733805,"Silva, Franklin Leopoldo e",NA,Bergson,intuição e discurso filosófico,NA,NA,Tese (Livre Docência),FILOSOFIA,1991,NA,FILOSOFIA|FILOSOFIA CONTEMPORÂNEA
734237,"Fabbrini, Ricardo Nascimento","Arantes, Otilia Beatriz Fiori",Espaco de lygia clark,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA|MODERNISMO|CONSTRUTIVISMO (ARTE MODERNA)|ARTES PLÁSTICAS|ARTE-TERAPIA
734322,"Souza, Edelcio Goncalves de","Costa, Newton Carneiro Affonso da",Estrutura e logica de teorias fisicas,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,MECÂNICA QUÂNTICA|EPISTEMOLOGIA|LÓGICA
734577,"Gomes, Diva","Chauí, Marilena de Souza",Questao da subjetividade na obra de borges,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1991,NA,FILOSOFIA|ESTÉTICA|POESIA|CRÍTICA LITERÁRIA|LITERATURA HISPANO-AMERICANA
734692,"Duarte, André de Macedo","Terra, Ricardo Ribeiro",Hannah arendt e a dimensão política do juizo reflexionante estético kantiano,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,FILOSOFIA|FILOSOFIA POLÍTICA|FILOSOFIA MODERNA
734717,"Sayegh, Astrid","Silva, Franklin Leopoldo e",Bergson - o metodo intuitivo,uma abordagem positiva do espirito,NA,NA,Dissertação (Mestrado),FILOSOFIA,1990,NA,FILOSOFIA|EPISTEMOLOGIA
734855,"Ribeiro, Renato Janine",NA,Ensaios antigos,NA,NA,NA,Tese (Livre Docência),FILOSOFIA,1991,NA,FILOSOFIA|FILOSOFIA POLÍTICA|EPISTEMOLOGIA|ÉTICA|FILOSOFIA ANTIGA
735307,"Saes, Sílvia Faustino de Assis","Santos, Luiz Henrique Lopes dos",Wittgenstein,solipsimo e linguagem,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,EPISTEMOLOGIA|FILOSOFIA CONTEMPORÂNEA
735315,"Loureiro, Isabel Maria","Chauí, Marilena de Souza",Rosa luxemburg,os dilemas da acao revolucionaria,NA,NA,Tese (Doutorado),FILOSOFIA,1992,NA,FILOSOFIA|FILOSOFIA POLÍTICA|FILOSOFIA CONTEMPORÂNEA|MARXISMO
735333,"Gmeiner, Conceicao Neves","Knoll, Victor",Linguagem originaria,um estudo sobre a linguagem na perspectiva de Martin Heidegger,NA,NA,Tese (Doutorado),FILOSOFIA,1992,NA,FILOSOFIA|FILOSOFIA DA LINGUAGEM|FILOSOFIA CONTEMPORÂNEA
735385,"Mata, José Veríssimo Teixeira da","Santos, Luiz Henrique Lopes dos","Introdução à tábua categorial, acompanhada de tradução comentada das categorias",NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,FILOSOFIA|FILOSOFIA ANTIGA
735386,"Bolzani Filho, Roberto","Silva, Oswaldo Porchat de Assis Pereira da",Ceticismo pirronico na obra de sexto empirico,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,FILOSOFIA|CETICISMO
735729,"Barros, Alberto Ribeiro Gonçalves de","Kuntz, Rolf Nelson",A teoria da soberania de Jean Bodin,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,FILOSOFIA POLÍTICA|EPISTEMOLOGIA
735843,"Regina, Jesus Eurico Miranda","Silva, Franklin Leopoldo e",Dualismo antropologico e a alteridade na moral de Descartes,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1992,NA,FILOSOFIA|ÉTICA|FILOSOFIA MODERNA
736012,"Martins, Luiz Renato","Felício, Vera Lúcia Gonçalves",Conflito e interpretação em Fellini,construção da perspectiva do público,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,ESTÉTICA|FILOSOFIA CONTEMPORÂNEA|FILOSOFIA DA ARTE
736015,"Santos, Magnólia Costa","Kossovitch, Leon",Diderot,mecanismos da invenção crítica,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,FILOSOFIA|FILOSOFIA MODERNA|ENSAIO LITERÁRIO
736016,"Sproesser, Sandra Regina","Watanabe, Lygia Araújo",Platão,Mênon estudo e tradução,NA,NA,Dissertação (Mestrado),FILOSOFIA,1992,NA,FILOSOFIA|FILOSOFIA ANTIGA
736448,"Arantes, Otília Beatriz Fiori",NA,Arquitetura simulada,e outros estudos sobre a ideologia arquitetônica contemporânea,NA,NA,Tese (Livre Docência),FILOSOFIA,1992,NA,FILOSOFIA CONTEMPORÂNEA|CULTURA|ARQUITETURA
